City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Flinders,20,AU,1554724800,44,-34.581,150.846,78.37,7.65
Doka,0,SD,1554724800,20,13.5234,35.7607,105.89,5.19
Jamestown,76,AU,1554724800,80,-33.2075,138.6035,58.73,10.67
Ancud,92,CL,1554724800,97,-41.8682,-73.8288,55.13,4.07
Muros,68,ES,1554724800,83,42.7744,-9.0576,55.4,18.28
Vilhena,92,BR,1554724800,87,-12.7369,-60.1466,69.53,2.95
Padang,68,ID,1554724800,100,-0.9248,100.3633,80.96,8.43
Corning,64,US,1554724800,93,42.1429,-77.0547,57.83,6.64
Los Llanos de Aridane,0,ES,1554724800,100,28.6585,-17.9183,64.94,6.42
Port Alfred,32,ZA,1554724800,71,-33.5906,26.891,77.54,4.63
Atuona,76,PF,1554724800,99,-9.8,-139.0334,82.22,9.66
Torbay,76,CA,1554724800,96,47.6577,-52.727,29.3,23.76
Rocha,0,UY,1554724800,84,-34.4811,-54.3366,61.61,4.18
Bluff,0,AU,1554724800,60,-23.58,149.0661,69.53,10.22
Bambous Virieux,88,MU,1554724800,89,-20.3428,57.7575,79.81,12.46
Cidreira,12,BR,1554724800,91,-30.1658,-50.2184,69.8,6.76
Saskylakh,8,RU,1554724800,71,71.965,114.0939,6.26,3.62
Muscat,24,OM,1554724800,54,23.5998,58.5451,93.65,4.74
Vanimo,88,PG,1554724800,100,-2.6741,141.3028,82.94,7.54
Avarua,88,CK,1554724800,100,-21.2078,-159.775,80.42,11.68
Liuhe,0,CN,1554724800,56,42.2779,125.7349,33.8,3.18
Meulaboh,24,ID,1554724800,100,4.1363,96.1285,83.12,2.95
Bodden Town,12,KY,1554724800,98,19.2833,-81.25,79.88,14.36
Mbarara,24,UG,1554724800,72,-0.611,30.6533,79.07,3.85
Pichayevo,76,RU,1554724800,69,51.7871,41.2201,50.9,10.0
Lata,12,IN,1554724800,87,30.7809,78.6152,53.78,1.61
Ahipara,48,NZ,1554724800,98,-35.1665,173.1562,60.17,10.67
Cayenne,80,GF,1554724800,89,4.9371,-52.3259,79.52,9.22
Khatanga,80,RU,1554724800,79,71.9801,102.4743,10.4,10.22
Klaksvik,80,FO,1554724800,93,62.2266,-6.5891,43.38,24.32
Miraflores,24,CO,1554724800,93,5.1955,-73.144,49.64,1.61
Nome,92,US,1554724800,98,30.0358,-94.4244,63.63,11.56
Alta Floresta,80,BR,1554724800,96,-9.8716,-56.084,72.86,2.84
Hithadhoo,12,MV,1554724800,100,-0.6,73.0833,85.73,5.19
Castro,76,CL,1554724800,98,-42.4824,-73.7644,53.87,3.96
Registro,64,BR,1554724800,91,-24.498,-47.8449,73.4,10.22
Norman Wells,88,CA,1554724800,89,65.2824,-126.8328,22.69,3.4
Hofn,92,IS,1554724800,100,64.2539,-15.2082,39.97,10.0
Galbshtadt,0,RU,1554724800,40,53.2264,78.9845,48.2,4.63
Adrar,0,DZ,1554724800,28,27.8734,-0.2875,96.66,9.78
Boyuibe,0,BO,1554724800,82,-20.4319,-63.2816,61.07,3.62
Butaritari,88,KI,1554724800,100,3.0707,172.7902,82.85,13.24
Bogande,20,BF,1554724800,15,12.9714,-0.1437,101.75,10.45
Port Elizabeth,8,US,1554724800,91,39.3134,-74.9811,59.81,14.47
Kodiak,0,US,1554724800,83,39.9519,-94.7572,47.57,2.84
Sao Filipe,0,CV,1554724800,91,14.8961,-24.4956,72.86,16.82
Tchollire,12,CM,1554724800,24,8.4022,14.1698,104.81,8.43
Lithakia,36,GR,1554724800,100,37.7167,20.8333,62.29,9.78
Ambulu,44,ID,1554724800,100,-8.3451,113.6058,81.77,2.73
Yar-Sale,76,RU,1554724800,98,66.8333,70.8333,29.12,4.18
Victoria,0,BN,1554724800,97,5.2785,115.2423,85.3,12.24
Sobolevo,8,RU,1554724800,72,54.4299,31.8996,59.27,12.46
Dalvik,20,SE,1554724800,54,57.7865,14.1298,43.79,6.76
Arraial do Cabo,0,BR,1554724800,84,-22.9663,-42.0245,82.04,2.95
Hobart,92,AU,1554724800,95,-42.8826,147.3281,50.81,9.66
Broken Hill,0,AU,1554724800,36,-31.9651,141.4511,69.8,11.23
Varna,44,BG,1554724800,75,43.2166,27.9017,62.82,7.99
Provideniya,0,RU,1554724800,100,64.4238,-173.2276,15.71,26.89
New Norfolk,92,AU,1554724800,93,-42.7802,147.0615,46.85,11.23
Saint-Joseph,0,FR,1554724800,68,43.5562,6.9715,58.71,3.62
East London,8,ZA,1554724800,87,-33.0153,27.9116,77.36,4.74
Thompson,88,CA,1554724800,71,55.7433,-97.8635,14.27,8.21
Fairbanks,44,US,1554724800,73,64.8378,-147.7167,25.93,2.28
Pitimbu,92,BR,1554724800,86,-7.4729,-34.8113,85.01,12.8
Port Hardy,48,CA,1554724800,90,50.6996,-127.4199,38.57,3.18
Peruibe,88,BR,1554724800,100,-24.32,-46.9984,75.65,15.26
Tasiilaq,80,GL,1554724800,91,65.6145,-37.6368,28.45,23.31
Beyneu,32,KZ,1554724800,60,45.3214,55.1862,61.97,9.66
Lebu,76,ET,1554724800,43,8.9611,38.7254,74.57,4.85
Udachnyy,76,RU,1554724800,72,66.4167,112.4,24.35,6.2
Lincoln,0,GB,1554724800,81,53.2336,-0.5393,59.18,12.46
Svetlaya,24,RU,1554724800,94,46.5389,138.3297,33.44,2.84
Buritis,48,BR,1554724800,93,-15.6214,-46.4239,74.48,4.63
Teya,76,MX,1554724800,71,21.0486,-89.0739,78.89,6.08
Gat,0,SN,1554724800,25,14.6934,-16.5351,96.15,9.66
Atherton,0,GB,1554724800,71,53.525,-2.4906,61.95,10.56
Aklavik,48,CA,1554724800,62,68.2183,-135.0136,2.12,5.08
Khed Brahma,0,IN,1554724800,13,24.0333,73.05,100.58,11.68
La Rioja,0,AR,1554724800,83,-29.4128,-66.8559,59.18,6.2
Ponta do Sol,92,BR,1554724800,100,-20.6335,-45.9989,67.1,4.74
Anadyr,0,RU,1554724800,60,64.7317,177.5061,0.64,3.62
Maxixe,8,MZ,1554724800,74,-23.8616,35.3489,89.71,7.2
Itarema,100,BR,1554724800,97,-2.9248,-39.9167,81.95,6.64
Cherskiy,64,RU,1554724800,67,68.75,161.3,10.22,2.17
San-Pedro,88,CI,1554724800,97,4.7485,-6.6363,81.95,6.08
Mar del Plata,56,AR,1554724800,100,-46.4276,-67.5191,53.87,6.98
Upernavik,88,GL,1554724800,94,72.7868,-56.1549,28.85,7.76
Boende,32,CD,1554724800,63,-0.2837,20.8826,88.97,3.4
Mahebourg,88,MU,1554724800,89,-20.4081,57.7,79.81,12.46
Hirara,0,JP,1554724800,97,24.8,125.2833,78.13,13.24
Talnakh,76,RU,1554724800,89,69.494,88.3908,16.7,8.99
Xai-Xai,80,MZ,1554724800,89,-25.0445,33.6407,80.87,3.96
Ipswich,8,AU,1554724800,88,-27.6161,152.7609,69.26,5.97
Sorong,68,ID,1554724800,98,-0.8635,131.2545,83.84,5.97
Airai,48,TL,1554724800,78,-8.9266,125.4092,73.31,1.39
Vila,0,IT,1554724800,92,45.1829,8.402,62.6,4.29
Port Lincoln,92,AU,1554724800,87,-34.7212,135.8592,64.04,19.51
Starobaltachevo,20,RU,1554724800,98,56.0013,55.9213,38.75,2.95
Yarada,92,IN,1554724800,94,17.65,83.2667,90.34,13.35
Cabo San Lucas,0,MX,1554724800,100,22.8938,-109.9112,69.8,4.07
San Patricio,88,PY,1554724800,90,-26.9767,-56.8274,66.65,3.18
Khandyga,56,RU,1554724800,82,62.6478,135.5751,22.1,2.39
Abu Samrah,20,SY,1554724800,87,35.3029,37.1841,67.91,7.54
Bredasdorp,56,ZA,1554724800,86,-34.5331,20.0428,70.79,8.99
Fort Nelson,0,CA,1554724800,78,58.8063,-122.694,22.95,2.39
Marzuq,0,YE,1554724800,12,14.4,46.4667,91.04,4.18
Salalah,0,OM,1554724800,94,17.0149,54.0957,84.4,10.33
Cabanas,48,ES,1554724800,65,43.4183,-8.1629,55.51,10.33
Foumbot,24,CM,1554724800,96,5.5109,10.6381,79.25,6.31
Tucupita,0,VE,1554724800,68,9.0581,-62.0501,79.88,4.18
Maniitsoq,32,GL,1554724800,81,65.4167,-52.9001,31.91,7.31
Raudeberg,0,NO,1554724800,67,61.9875,5.1352,46.71,3.85
Hasaki,36,JP,1554724800,100,35.7333,140.8333,49.01,11.23
Savinka,44,RU,1554724800,95,50.0777,47.0973,58.91,7.54
Paamiut,92,GL,1554724800,86,61.994,-49.6678,35.15,4.97
Port-Cartier,0,CA,1554724800,100,50.0257,-66.8819,16.43,11.68
San Quintin,0,PH,1554724800,83,17.5427,120.5203,76.37,2.28
Sao Felix do Xingu,92,BR,1554724800,100,-6.6448,-51.995,73.13,2.62
Grindavik,80,IS,1554724800,95,63.8424,-22.4338,43.61,27.34
Chokurdakh,76,RU,1554724800,80,70.6192,147.9022,15.35,4.63
Kijang,24,KR,1554724800,41,35.2442,129.2139,50.27,3.18
Auki,8,NG,1554724800,40,12.1824,6.5056,97.61,11.23
Chuy,0,UY,1554724800,94,-33.6938,-53.4562,66.11,4.97
Hajipur,8,IN,1554724800,44,25.6906,85.209,89.92,4.52
Saint George,92,GR,1554724800,100,39.4548,22.34,58.21,3.96
Tiznit,0,MA,1554724800,83,29.6986,-9.7313,64.67,4.18
Georgetown,8,GY,1554724800,74,6.8026,-58.1629,81.41,4.97
Naze,24,NG,1554724800,82,5.4333,7.0667,93.16,8.43
Wanning,80,AT,1554724800,85,48.6402,13.529,53.73,3.18
Mentougou,88,CN,1554724800,30,39.9392,116.0917,53.28,5.19
Kaitangata,48,NZ,1554724800,73,-46.2818,169.8464,49.91,5.64
Guerrero Negro,0,MX,1554724800,76,27.971,-114.0364,54.95,5.75
Bosaso,0,SO,1554724800,97,11.2785,49.18,82.35,8.21
Haines Junction,44,CA,1554724800,77,60.7527,-137.5101,20.57,2.73
Hervey Bay,0,AU,1554724800,99,-25.2986,152.8535,74.21,8.55
Jumla,48,NP,1554724800,100,29.2754,82.1825,37.31,1.05
Prince Rupert,92,CA,1554724800,100,54.3161,-130.3202,37.53,4.41
North Platte,0,US,1554724800,34,41.1239,-100.7655,55.04,16.93
Ribeira Grande,20,PT,1554724800,100,38.5167,-28.7001,58.64,11.23
Havre-Saint-Pierre,0,CA,1554724800,92,50.2334,-63.5987,8.96,9.66
Nyurba,36,RU,1554724800,80,63.2866,118.3541,33.8,8.21
Beaupre,92,CA,1554724800,79,47.0443,-70.8953,26.51,11.45
Mangrol,8,IN,1554724800,17,25.3307,76.512,99.59,12.01
Yellowknife,92,CA,1554724800,90,62.4541,-114.3774,29.25,11.23
Marawi,44,PH,1554724800,99,8.0035,124.2866,74.68,2.17
Paraiso,0,MX,1554724800,63,24.0142,-104.6078,38.3,2.73
Bathsheba,32,BB,1554724800,95,13.2167,-59.5167,79.25,18.05
Nara,0,JP,1554724800,72,34.6845,135.8048,52.68,11.68
Pangnirtung,80,CA,1554724800,100,66.149,-65.7179,16.16,4.41
Luderitz,0,NA,1554724800,86,-26.6481,15.1594,64.67,13.69
Sabzevar,92,IR,1554724800,99,36.2134,57.6809,54.77,3.62
Tuktoyaktuk,32,CA,1554724800,86,69.444,-133.032,4.55,3.06
Quatre Cocos,88,MU,1554724800,89,-20.2078,57.7625,79.75,12.46
Oksfjord,80,NO,1554724800,100,70.2396,22.3479,31.95,3.4
Iqaluit,68,CA,1554724800,90,63.7494,-68.5219,15.35,9.55
Tagusao,12,PH,1554724800,78,9.1924,117.8141,84.2,10.11
Kununurra,64,AU,1554724800,58,-15.7731,128.7388,86.09,10.22
Punta Alta,0,AR,1554724800,82,-27.4624,-55.8245,68.25,2.95
Reconquista,76,AR,1554724800,78,-29.1444,-59.6438,63.05,2.95
Karachi,12,PK,1554724800,83,24.8668,67.0311,90.37,18.39
Chunskiy,24,RU,1554724800,37,56.0815,99.6342,36.32,6.31
Inuvik,24,CA,1554724800,57,68.3583,-133.7065,-2.04,3.18
Kruisfontein,12,ZA,1554724800,71,-34.0034,24.7314,71.78,5.64
Nikolskoye,12,RU,1554724800,75,59.7035,30.7861,56.35,10.45
Emerald,0,AU,1554724800,53,-23.5264,148.1619,69.15,8.21
Narsaq,56,GL,1554724800,83,60.9127,-46.0453,42.28,12.01
Kavieng,76,PG,1554724800,100,-2.5745,150.7967,81.32,5.3
Hambantota,12,LK,1554724800,97,6.1241,81.1185,90.16,10.11
Santa Isabel,80,CO,1554724800,99,4.7145,-75.0988,61.61,1.72
Vila Velha,48,BR,1554724800,100,-3.7125,-38.6045,81.59,11.45
Tefe,92,BR,1554724800,99,-3.3542,-64.7114,71.96,4.41
Batemans Bay,36,AU,1554724800,64,-35.7073,150.1783,68.0,6.98
Kathmandu,32,NP,1554724800,86,27.7088,85.3202,71.96,0.49
Bilma,0,NE,1554724800,15,18.6929,12.9187,96.53,14.58
Saint-Augustin,100,FR,1554724800,83,44.8323,-0.6091,53.8,8.1
Malaya Serdoba,68,RU,1554724800,98,52.4675,44.957,35.15,6.2
Krasnystaw,0,PL,1554724800,77,50.9845,23.1636,63.93,4.18
Nizwa,0,OM,1554724800,11,22.9324,57.5311,97.7,9.44
Nsanje,0,MZ,1554724800,57,-16.9233,35.2619,88.07,6.42
Bara,12,NG,1554724800,29,10.4089,10.604,100.85,3.74
Sisophon,12,KH,1554724800,51,13.5884,102.97,90.5,5.08
Shelabolikha,0,RU,1554724800,53,53.4131,82.6167,43.9,3.96
Sioux Lookout,88,CA,1554724800,90,50.1001,-91.9191,29.19,3.4
Sandakan,76,MY,1554724800,100,5.8402,118.1179,84.65,10.78
Dikson,64,RU,1554724800,100,73.5069,80.5464,16.34,6.98
Ola,0,RU,1554724800,83,59.5781,151.2991,25.25,16.93
Wewak,92,PG,1554724800,93,-3.5535,143.6268,77.45,1.61
Rio Claro,92,BR,1554724800,99,-22.4109,-47.5609,74.28,6.87
Hammerfest,20,NO,1554724800,100,70.6634,23.6821,31.62,5.41
Ambon,92,FR,1554724800,91,47.5542,-2.5567,52.66,12.12
Gigmoto,88,PH,1554724800,100,13.7796,124.39,76.91,6.87
Arica,8,CL,1554724800,86,-18.4786,-70.3211,61.61,1.83
Lagoa,12,PT,1554724800,81,37.1363,-8.4541,62.69,7.2
Shahrud,92,IR,1554724800,100,36.4195,54.965,48.74,3.51
Mayo,12,CA,1554724800,79,63.5927,-135.8962,29.88,4.41
Omboue,24,GA,1554724800,100,-1.5747,9.2618,83.57,2.73
Bull Savanna,0,JM,1554724800,82,17.8868,-77.5903,68.63,3.74
Noshiro,64,JP,1554724800,97,40.2099,140.0514,43.88,13.47
Meghraj,0,IN,1554724800,13,23.5,73.5,104.18,12.46
Maamba,80,ZM,1554724800,45,-17.3553,27.2242,81.5,3.96
Port Blair,8,IN,1554724800,100,11.6667,92.75,88.56,4.97
Longyearbyen,0,NO,1554724800,82,78.2198,15.6349,13.05,2.39
Mount Gambier,100,AU,1554724800,98,-37.8302,140.7843,52.61,8.1
Kholm,68,RU,1554724800,54,57.1508,31.1827,57.11,6.98
Uarini,80,BR,1554724800,96,-2.9828,-65.1579,73.58,5.3
Ximei,20,TW,1554724800,90,23.7383,120.5072,71.6,3.18
Mehamn,20,NO,1554724800,85,71.035,27.8517,29.3,5.64
Shimoda,0,JP,1554724800,100,34.701,138.9287,59.54,15.48
Povenets,8,RU,1554724800,77,62.8487,34.8262,42.8,3.96
Iberia,0,PE,1554724800,87,-11.4071,-69.4893,67.91,2.17
Tsogni,64,GA,1554724800,90,-2.7942,10.0988,84.83,7.65
Esperance,8,TT,1554724800,72,10.2447,-61.4506,80.51,4.63
Bethel,92,US,1554724800,82,60.7922,-161.7559,29.84,3.18
Esil,0,KZ,1554724800,60,51.9602,66.4089,54.95,8.43
Westport,88,IE,1554724800,81,53.8001,-9.5203,54.28,11.45
Nuuk,48,GL,1554724800,99,64.175,-51.7356,33.62,4.97
Olga,56,US,1554724800,56,34.1125,-118.1657,56.71,2.62
Poronaysk,68,RU,1554724800,66,49.2216,143.1016,32.27,5.53
Redlands,8,US,1554724800,54,34.0557,-117.1889,53.2,2.62
Tura,64,IN,1554724800,98,25.5174,90.2067,69.71,2.51
Hongjiang,44,CN,1554724800,63,27.2129,109.832,78.71,14.03
Bajil,68,ES,1554724800,60,38.2322,-2.0722,59.81,8.99
Kaabong,64,UG,1554724800,44,3.5092,34.1375,84.38,6.2
Zarubino,48,RU,1554724800,62,42.6511,131.062,44.33,8.77
La Rochelle,76,FR,1554724800,80,46.1591,-1.1521,60.21,8.66
Russell,0,AR,1554724800,72,-33.0055,-68.7969,53.53,1.39
Charkhi Dadri,20,IN,1554724800,21,28.5924,76.2679,96.62,10.78
Farmington,0,US,1554724800,59,36.7304,-108.209,37.22,5.41
Surt,0,LY,1554724800,72,31.2089,16.5887,64.31,20.51
Waitati,36,NZ,1554724800,87,-45.7479,170.5729,49.86,2.73
Kastamonu,44,TR,1554724800,47,41.3765,33.777,68.99,1.61
Halifax,56,CA,1554724800,100,44.6491,-63.5752,29.39,9.44
Telesti,8,RO,1554724800,58,45.0,23.0833,58.73,3.18
Kalemie,32,CD,1554724800,100,-5.9461,29.1967,75.65,1.16
San Ramon,20,NI,1554724800,94,12.9229,-85.8385,64.4,1.61
Borogontsy,36,RU,1554724800,66,62.6708,131.1661,27.23,3.85
Krasnyy Chikoy,48,RU,1554724800,25,50.3643,108.7512,32.81,3.74
Vestmanna,48,FO,1554724800,100,62.1564,-7.1664,43.34,24.54
Kaeo,0,NZ,1554724800,90,-35.1018,173.7751,53.15,7.54
Maceio,64,BR,1554724800,80,-9.6659,-35.7353,82.4,5.08
Wheeling,92,US,1554724800,97,40.064,-80.721,61.02,6.76
Potenza,64,IT,1554724800,69,40.6384,15.8022,52.34,3.29
Ojinaga,0,US,1554724800,40,29.56,-104.4088,54.84,2.95
Vrangel,44,RU,1554724800,91,42.7297,133.0839,38.03,15.82
Bansi,8,IN,1554724800,44,27.1754,82.927,86.45,4.41
Carinhanha,0,BR,1554724800,86,-14.2986,-43.7724,79.43,5.64
Pucara,0,BO,1554724800,76,-21.6984,-64.2048,54.88,2.28
Jacareacanga,48,BR,1554724800,94,-6.2243,-57.7609,74.75,2.73
Sisimiut,48,GL,1554724800,95,66.9395,-53.6735,28.49,2.39
Baykit,44,RU,1554724800,78,61.6784,96.3854,27.77,9.44
Kantemirovka,36,RU,1554724800,77,49.7023,39.8541,55.58,8.21
